Type,Generic Type
Restaurant,Restaurant
Italian Restaurant,Italian Restaurant
Fast Food Restaurant,Fast Food Restaurant
Japanese Restaurant,Asian Restaurant
American Restaurant,American Restaurant
Sushi Restaurant,Asian Restaurant
Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurant
Chinese Restaurant,Asian Restaurant
Seafood Restaurant,Seafood Restaurant
Thai Restaurant,Asian Restaurant
Asian Restaurant,Asian Restaurant
Greek Restaurant,Greek Restaurant
Mexican Restaurant,Mexican Restaurant
Indian Restaurant,Indian Restaurant
Vietnamese Restaurant,Asian Restaurant
Middle Eastern Restaurant,Middle Eastern Restaurant
Caribbean Restaurant,Caribbean Restaurant
New American Restaurant,American Restaurant
French Restaurant,French Restaurant
Latin American Restaurant,Latin American Restaurant
Ramen Restaurant,Asian Restaurant
Dumpling Restaurant,Asian Restaurant
Comfort Food Restaurant,Fast Food Restaurant
Gluten-free Restaurant,Speciality Restaurant
Mediterranean Restaurant,Mediterranean Restaurant
Brazilian Restaurant,Latin American Restaurant
Korean Restaurant,Asian Restaurant
Falafel Restaurant,Mediterranean Restaurant
Eastern European Restaurant,European Restaurant
Belgian Restaurant,European Restaurant
Cuban Restaurant,Latin American Restaurant
Filipino Restaurant,Asian Restaurant
Ethiopian Restaurant,Ethiopian Restaurant
Portuguese Restaurant,European Restaurant
Doner Restaurant,Mediterranean Restaurant
Colombian Restaurant,Latin American Restaurant
Jewish Restaurant,Mediterranean Restaurant
Hotpot Restaurant,Asian Restaurant
Modern European Restaurant,European Restaurant
Southern / Soul Food Restaurant,American Restaurant
Cajun / Creole Restaurant,Caribbean Restaurant
Taiwanese Restaurant,Asian Restaurant
Tapas Restaurant,Tapas Restaurant
Malay Restaurant,Asian Restaurant
Dim Sum Restaurant,Asian Restaurant
Persian Restaurant,Mediterranean Restaurant
German Restaurant,European Restaurant
Theme Restaurant,Speciality Restaurant
Hakka Restaurant,Asian Restaurant
Indonesian Restaurant,Asian Restaurant
Afghan Restaurant,Mediterranean Restaurant
Empanada Restaurant,Mexican Restaurant
Molecular Gastronomy Restaurant,Speciality Restaurant
